city,states,mpo,trip_per_veh,poolPercent,extraVMTPercent,lon,lat
San Tan Valley,AZ,MAG,76.52725857,0.1351421,0.44318752,-111.5556018,33.19188386
Glendale,AZ,MAG,75.96897301,0.353559534,0.209281033,-112.2153952,33.57999964
Phoenix,AZ,MAG,48.19838361,0.671904883,0.149893588,-112.0869635,33.56465997
Chandler,AZ,MAG,67.06399236,0.404911185,0.228241495,-111.8510088,33.2832825
Peoria,AZ,MAG,67.23800564,0.300759029,0.260858767,-112.3147599,33.77097786
Florence,AZ,MAG,72.24705882,0.128495732,0.515466932,-111.4423052,33.06594722
Eloy,AZ,MAG,68.07239819,0.11685777,0.438365675,-111.5927268,32.73084225
Goodyear,AZ,MAG,73.40550556,0.184445956,0.30354068,-112.4091802,33.40201356
Mesa,AZ,MAG,65.94019158,0.480201198,0.186098732,-111.7155389,33.3994411
Coolidge,AZ,MAG,84.91385768,0.033946701,0.432993769,-111.5154649,32.93087614
Apache Junction,AZ,MAG,97.59607843,0.033965593,0.355617291,-111.5478441,33.40722921
Casa Grande,AZ,MAG,79.59247398,0.179390008,0.297374302,-111.7265185,32.90683417
Scottsdale,AZ,MAG,61.7883536,0.480771348,0.198769386,-111.8642335,33.67055503
Queen Creek,AZ,MAG,75.48409091,0.112647781,0.340175755,-111.6352215,33.25019167
Surprise,AZ,MAG,73.37591687,0.249378298,0.286715839,-112.4337567,33.67898
Avondale,AZ,MAG,82.74940618,0.153742063,0.315800717,-112.3158657,33.45558908
Gilbert,AZ,MAG,68.97502439,0.388003672,0.228807619,-111.7468407,33.30855896
Tempe,AZ,MAG,69.07755102,0.511129159,0.187538822,-111.9318225,33.38842088
Maricopa,AZ,MAG,85.74979887,0.086519667,0.354544253,-112.0010973,33.04384345
Irvine,CA,SCAG,67.91107022,0.217535126,0.289812313,-117.7679373,33.68818166
Santa Clarita,CA,SCAG,63.31325999,0.266722144,0.295397292,-118.5020505,34.41239916
Berkeley,CA,MTC,83.61047254,0.269029892,0.335387218,-122.2746612,37.87255035
Arden-Arcade,CA,SACOG,94.23197492,0.14976643,0.245757549,-121.3809759,38.60341595
Rocklin,CA,SACOG,72.61728395,0.131912618,0.328594779,-121.2507083,38.81033191
Sacramento,CA,SACOG,55.98551384,0.588453074,0.172090753,-121.4662133,38.56362328
San Mateo,CA,MTC,72.96348645,0.265064499,0.253288506,-122.3112524,37.55389452
San Leandro,CA,MTC,73.56051873,0.101247772,0.325122907,-122.1568418,37.70759559
Richmond,CA,MTC,71.14443219,0.168861871,0.341485591,-122.3315347,37.95162051
Indio,CA,SCAG,70.57575758,0.105494505,0.359270627,-116.235029,33.72986759
Concord,CA,MTC,54.17122683,0.224311221,0.366127102,-121.9920401,37.97472078
Napa,CA,MTC,65.84294235,0.236852186,0.347400888,-122.2912449,38.30573152
Fairfield,CA,MTC,55.9878327,0.214075383,0.462189658,-122.0127077,38.28548502
Fremont,CA,MTC,51.64976959,0.30182653,0.320740657,-121.981654,37.52756625
San Bernardino,CA,SCAG,68.35278436,0.260989705,0.252876772,-117.2984524,34.13541263
Los Angeles,CA,SCAG,40.28106427,0.7265539,0.120748576,-118.4091801,34.11941513
Victorville,CA,SCAG,68.20242915,0.058023425,0.367102108,-117.3662773,34.50692766
Huntington Beach,CA,SCAG,92.22243346,0.167448511,0.26248497,-118.0028301,33.69660008
Lake Elsinore,CA,SCAG,57.98519737,0.133925866,0.406706878,-117.3160472,33.69485984
Sunnyvale,CA,MTC,70.42118863,0.27360496,0.264729829,-122.0252755,37.36903141
Rancho Cucamonga,CA,SCAG,74.25948104,0.14060121,0.314561719,-117.5644114,34.12359443
